Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-02-18,Senior App Developer/Mobile Architect Lead - iOS/Android Platform," Gurugram, Delhi / NCR",Benovymed Healthcare,2 , 7 ,,,"Java,App Development,Android Studio,Hybrid Apps,Android,iOS,Mobile App,Kotlin,RESTful API,Flutter"
2024-02-18,Data Engineer + PySpark + Big Data | Pan India | Immediate Joiners," Hyderabad, Bengaluru, Mumbai (All Areas)",Cygnus Professionals,6 , 11 ,14,24,"Hadoop,Hive,Azure,Spark,Big Data,Data Processing,Data Pipeline,Data Engineer,Transformation,Python"
2024-02-18,Senior Business Analyst, Pune,Fiserv,8 , 12 ,,,"Linux,SSL,Performance tuning,JSON,SOA,CSS3,MVC,XML,Application development,Middleware"
2024-02-18,IOT Native Android Developer, Lucknow,Yolohealth,2 , 3 ,,,"Debugging,Computer science,Healthcare,JSON,Firmware,Android,XML,HTTP,JIRA,Application development"
2024-02-18,IBM Operational Decision Manager-Application Lead, Bengaluru,Accenture,5 , 10 ,,,"websphere application server,unix,aws,html,oracle,performance tuning,sql,c#,rest,communication skills,odm,jsp,css,mysql,writing,sql mysql,server,oracle dba,api,javascript,android,plsql,python,vb,spring,requirement analysis,java,unit testing,j2ee"
2024-02-18,Data Science Lead, Mumbai (All Areas),IKS HEALTH,6 , 11 ,,,"Deep Learning,rnn,nlp,Scikit-Learn,Natural Language Processing,Tensorflow,Lstm,Machine Learning,Cnn,Python"
2024-02-18,SAP FICO End User Professionals, Pune,Pinnacle Tech Systems,2 , 3 ,,,"general ledger,sap,sap fico,accounts receivable,sap sd,reporting,variance analysis,accounting,master data,accounts payable,ledger,end user,fico,vendor,payables,cost center accounting,accounting operations,sap hana,procurement,operations"
2024-02-18,Ppc Engineer," Pimpri-Chinchwad,Maharashtra",Shirodkar Preci Comp,2 , 5 ,,,"Production Planning Control,Forging,Daily Reports,Casting,Maintain Documentation,Daily Production Planning,ERP System,Analytical Skills,Data Analysis"
2024-02-18,SDE-3 Frontend, Bangalore/Bengaluru,Globalfair,3 , 7 ,,,"Open source,Data structures,Unit testing,Distribution system,Android,Logistics,Supply chain,Agile,Coding,Analytics"
2024-02-19,Full Stack Developer, Bengaluru,"Neutrinos - Build, Next Incredible",4 , 7 ,,,"Angular,CSS,HTML,Node.Js,Javascript,MongoDB,React.Js,Mern Stack,Mean Stack,Postgresql"
2024-02-18,AI Platform Engineer, Bengaluru,Accenture,2 , 14 ,,,"coding,scikit-learn,linux,aws,numpy,docker,sql,deep learning,machine learning,data science,pandas,mysql,algorithms,nltk,git,keras,r,python,spacy,data structures,hadoop,artificial intelligence,tensorflow,java,natural language processing"
