Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-01-16,Senior Data Engineer," Hyderabad/Secunderabad, Bangalore/Bengaluru",OSB India,5.0,8.0,,,"Data migration,Financial services,Change management,Business intelligence,Data warehousing,Continuous improvement,Risk management,Data extraction,Reconciliation,Analytics"
2024-01-16,Analytics / Data Sci - Lead, Gurgaon/Gurugram,US Analytics Product Company ,6.0,11.0,,,"solution architecture,AI,data modeling,data manipulation,Data science,SQL,marketing analytics,machine learning,quant analytics,Data analytics,risk analytics,python,data scientist"
2024-01-16,Business Analyst - Endur, Bangalore/Bengaluru,Leading Client,6.0,11.0,,,"Trading value chain,Business Analysis,Endur Trading Package,Trading"
2024-01-16,Data Analyst, Bangalore/Bengaluru,Valenta Bpo Solutions,4.0,5.0,,,"Project management,Computer science,Issue resolution,SQL,Data analysis,Publishing,power bi,data visualization,Data validation,microsoft"
2024-01-16,Senior Data Scientist, Bengaluru,Neostats Analytics Solutions,7.0,12.0,,,"Statistical Analyses,Python,SQL,R,Data Science,Predictive Modeling,Machine Learning,SCALA"
2024-01-16,Data Warehouse Engineer II, Remote,Cardinal Financial,3.0,7.0,,,"Manager Technology,data security,Engineer II,Computer science,Data warehousing,business rules,Agile,data governance,Finance,Dms"
2024-01-16,UI QA Analyst-2, Bangalore/Bengaluru,Target,3.0,7.0,,,"Computer science,Manager Quality Assurance,Data analysis,Workflow,Business process,Content management,Selenium,Test cases,JIRA,Customer service"
2024-01-16,Business Analyst - Endur, Gurgaon/Gurugram,Leading Client,6.0,11.0,,,"Trading value chain,Business Analysis,Endur Trading Package,Trading"
2024-01-16,Data Insights & Analytics Analyst, Pune,Telstra,2.0,3.0,,,"Data modeling,analytics analyst,SAS,Data mining,Continuous improvement,SQL,Cloud computing,power bi,data visualization,Python"
2024-01-16,Business Analyst - Capital Market/ Investment Banking Domain," Mumbai,Maharashtra, Bengaluru,Karnataka",Capco,5.0,9.0,,,"Capital Market,BRD,Requirement Gathering,Business Analyst,Agile Methodology,Project Management,FRD,Stakeholder Management"
2024-01-16,Data Scientist, Hyderabad/Secunderabad,Quantium Analytics,2.0,3.0,,,"Actuarial,Analytical,SAS,Continuous improvement,SQL,C++,Perl,Data extraction,Coding,Analytics"
2024-01-16,Data Engineer, Pune,Unison Consulting Pte Ltd,3.0,6.0,,,"Data modeling,Linux,SQL,Version control,Unix,Publishing,GIT,JIRA,Debugging,Python"
2024-01-16,Business Analyst," Mumbai Suburban,Maharashtra, Mumbai (All Areas)",Evolutionco,3.0,8.0,7,12.0,"FSD,Brd,Business Analytics,User Documentation,FRD,User Stories"
2024-01-16,Sr JavaScript Software Developer (Full Stack)," Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Riversand Technologies, Inc.",5.0,9.0,,,"Automation,Javascript,SQL,Data analysis,Equity,Cloud computing,Agile,JIRA,Debugging,Analytics"
2024-01-16,Global Research Analyst, Gurgaon/Gurugram,The Economist Newspaper Limited,2.0,6.0,,,"MS Office,Research,International trade,data science,Forecasting,Networking,Research analysis,Economics,Research Analyst,Labour"
